customer_id,recency,frequency, monetary ,cluster,segment
244,211,16," 400,836.05 ",3,Inactive
247,16,165," 1,321,495.63 ",1,Regulars
249,274,37," 73,623.63 ",3,Inactive
252,60,7," 46,164.56 ",3,Inactive
253,2,221," 2,057,548.21 ",0,Champions
258,25,32," 326,403.06 ",1,Regulars
260,95,14," 2,934,698.25 ",2,Potential Loyalists
261,141,4," 30,186,442.50 ",2,Potential Loyalists
264,51,70," 483,660.41 ",1,Regulars
265,57,21," 47,868.08 ",3,Inactive
266,64,122," 1,529,073.38 ",1,Regulars
269,206,39," 217,457.72 ",3,Inactive
271,28,117," 873,787.46 ",1,Regulars
273,113,34," 23,006,658.42 ",2,Potential Loyalists
275,409,35," 29,983.88 ",3,Inactive
276,65,77," 439,004.85 ",1,Regulars
279,11,9," 735,221.17 ",2,Potential Loyalists
280,329,62," 1,076,144.57 ",1,Regulars
281,51,329," 588,827.53 ",1,Regulars
286,23,10," 59,243.94 ",3,Inactive
287,626,6," 900,000.00 ",3,Inactive
289,30,205," 556,307.44 ",1,Regulars
290,260,72," 135,272.81 ",3,Inactive
292,56,45," 539,559.43 ",1,Regulars
294,59,64," 9,128,619.30 ",2,Potential Loyalists
295,4,178," 364,364.87 ",1,Regulars
296,11,23," 927,080.33 ",2,Potential Loyalists
299,16,145," 382,458.09 ",1,Regulars
304,148,16," 223,022.50 ",3,Inactive
307,347,20," 715,141.14 ",3,Inactive
308,22,63," 3,103,239.72 ",2,Potential Loyalists
309,88,24," 226,243.27 ",3,Inactive
310,24,84," 1,063,681.82 ",1,Regulars
311,24,559," 2,592,848.54 ",0,Champions
312,206,145," 1,277,285.64 ",1,Regulars
313,66,24," 3,480,891.37 ",2,Potential Loyalists
314,347,63," 893,911.06 ",1,Regulars
315,448,7," 333,670.69 ",3,Inactive
317,2,346," 2,441,981.02 ",0,Champions
318,11,11," 969,557.76 ",2,Potential Loyalists
319,50,21," 48,278.30 ",3,Inactive
320,66,2," 132,413.83 ",3,Inactive
322,60,42," 355,938.80 ",1,Regulars
323,158,52," 390,434.17 ",1,Regulars
324,38,63," 88,525.12 ",1,Regulars
325,43,100," 714,967.65 ",1,Regulars
327,347,6," 325,481.60 ",3,Inactive
328,37,305," 1,797,531.59 ",1,Regulars
329,618,4," 128,750.00 ",3,Inactive
330,25,15," 631,840.00 ",2,Potential Loyalists
332,288,9," 129,510.01 ",3,Inactive
333,252,9," 246,195.94 ",3,Inactive
334,11,229," 2,065,285.14 ",0,Champions
335,697,4," 11,330.00 ",3,Inactive
337,261,22," 859,641.85 ",3,Inactive
338,399,8," 70,420.17 ",3,Inactive
340,44,234," 3,249,187.03 ",1,Regulars
341,15,3," 1,173,928.00 ",2,Potential Loyalists
343,113,6," 326,327.28 ",3,Inactive
344,107,160," 464,650.58 ",1,Regulars
345,86,155," 1,075,115.00 ",1,Regulars
346,4,113," 1,157,149.04 ",0,Champions
347,126,65," 1,041,752.30 ",1,Regulars
348,3,165," 2,196,552.32 ",0,Champions
349,46,100," 964,424.89 ",1,Regulars
350,541,3," 115,782.42 ",3,Inactive
352,18,28," 1,208,404.13 ",2,Potential Loyalists
353,3,587," 6,813,258.46 ",0,Champions
354,15,43," 488,438.86 ",1,Regulars
356,322,29," 779,991.01 ",3,Inactive
357,44,67," 253,205.65 ",1,Regulars
358,151,3," 63,898.27 ",3,Inactive
359,333,2," 33,530.17 ",3,Inactive
360,31,29," 336,582.17 ",1,Regulars
361,2,90," 1,957,354.85 ",0,Champions
363,30,51," 2,245,242.33 ",2,Potential Loyalists
364,526,49," 73,669.71 ",3,Inactive
365,661,23," 91,896.20 ",3,Inactive
366,224,23," 33,915.19 ",3,Inactive
369,18,78," 614,840.09 ",1,Regulars
371,30,6," 2,742,672.41 ",2,Potential Loyalists
372,32,84," 1,838,983.20 ",1,Regulars
373,11,251," 7,512,853.59 ",0,Champions
374,25,10," 53,814.85 ",3,Inactive
375,23,52," 729,041.21 ",1,Regulars
376,16,155," 620,377.06 ",1,Regulars
377,94,31," 931,509.28 ",2,Potential Loyalists
379,16,122," 1,435,406.43 ",1,Regulars
380,16,74," 852,975.05 ",1,Regulars
382,415,20," 88,791.46 ",3,Inactive
383,22,296," 946,364.98 ",1,Regulars
385,233,3," 283,857.60 ",3,Inactive
388,112,2," 286,840.20 ",3,Inactive
389,21,39," 11,263,129.08 ",2,Potential Loyalists
390,526,17," 20,129.74 ",3,Inactive
391,452,2," 453,086.40 ",3,Inactive
393,252,22," 1,207,867.24 ",2,Potential Loyalists
394,14,80," 309,199.02 ",1,Regulars
395,101,36," 4,279,347.41 ",2,Potential Loyalists
396,7,127," 1,434,511.12 ",0,Champions
397,4,7," 2,544,418.10 ",2,Potential Loyalists
398,308,23," 73,303.70 ",3,Inactive
399,375,38," 55,594.80 ",3,Inactive
400,24,92," 449,531.08 ",1,Regulars
401,64,38," 387,351.21 ",1,Regulars
402,86,91," 247,915.09 ",1,Regulars
403,294,22," 282,680.68 ",3,Inactive
404,39,122," 201,633.89 ",1,Regulars
405,98,16," 388,692.88 ",3,Inactive
407,290,21," 203,142.93 ",3,Inactive
408,129,9," 16,418.10 ",3,Inactive
409,116,9," 1,852,475.80 ",2,Potential Loyalists
410,37,24," 174,634.38 ",1,Regulars
411,169,20," 268,659.32 ",3,Inactive
412,32,60," 893,901.53 ",1,Regulars
419,85,10," 8,252,517.81 ",2,Potential Loyalists
423,17,393," 37,389,053.22 ",0,Champions
429,641,2," 85,364.23 ",3,Inactive
431,10,20," 8,138,308.26 ",2,Potential Loyalists
433,59,163," 154,557.31 ",1,Regulars
434,36,932," 69,582,865.65 ",0,Champions
436,633,1," 1,432,431.00 ",3,Inactive
437,10,6," 4,693,500.00 ",2,Potential Loyalists
438,3,66," 18,815,869.59 ",0,Champions
439,186,4," 2,268,965.52 ",2,Potential Loyalists
440,290,9," 683,990.25 ",3,Inactive
446,430,3," 20,735.73 ",3,Inactive
455,3,1654," 6,023,387.44 ",0,Champions
456,11,631," 16,226,634.74 ",0,Champions
461,695,48," 32,168.96 ",3,Inactive
463,669,2," 343,980.00 ",3,Inactive
469,3,45," 434,315.80 ",1,Regulars
474,35,33," 77,007.57 ",1,Regulars
475,23,95," 326,310.72 ",1,Regulars
476,18,85," 164,755.66 ",1,Regulars
530,56,21," 362,617.86 ",2,Potential Loyalists
532,171,1," 15,601.41 ",3,Inactive
533,14,51," 439,160.09 ",1,Regulars
534,109,27," 35,432.09 ",3,Inactive
556,8,121," 132,343.62 ",1,Regulars
557,102,18," 126,204.82 ",3,Inactive
565,4,53," 1,692,632.21 ",0,Champions
572,17,25," 363,021.93 ",1,Regulars
573,102,12," 155,433.11 ",3,Inactive
607,60,24," 542,647.36 ",2,Potential Loyalists
708,7,19," 984,462.06 ",2,Potential Loyalists
711,53,7," 31,422.41 ",3,Inactive
717,7,1," 89,954.25 ",3,Inactive
718,3,2," 359,817.00 ",2,Potential Loyalists
